REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z
4.650345732341133,1.1571358217187269,18.842072097449183,0.88832,-0.11069,-0.02763,-0.17619905568293637,-4.299743333051958,-3.350360559288747,98.23980663069244,0.69841,0.26148,-0.02634,-2.6611251269989418
4.648990358010491,1.1571188486425792,18.927909831034466,0.88632,-0.11338,-0.02763,-0.18379751332408584,-4.2850164820465615,-3.351020509265745,98.26609901451684,0.69879,0.2613,-0.02634,-2.65889921824117
4.644576125418898,1.1554925105429266,19.011028054589463,0.88442,-0.11261,-0.02763,-0.19179750987869137,-4.27059938978338,-3.3520375523428076,98.29053493275978,0.69875,0.2613,-0.02634,-2.655745355999789
4.636769496517601,1.151805564474711,19.090185046154122,0.88225,-0.11493,-0.02763,-0.19979078004658188,-4.2563233774490055,-3.3532397375616707,98.31257005144387,0.69865,0.26128,-0.02634,-2.6518027332837213
4.625312683328062,1.1457135645730716,19.16410968523379,0.88225,-0.11493,-0.02763,-0.20739596754612638,-4.242036809660318,-3.3543400562365586,98.33177779096908,0.69861,0.26128,-0.02634,-2.647253868381339
4.610041718879223,1.1370127324673245,19.23156980802652,0.88046,-0.11412,-0.02762,-0.21428540541088445,-4.2276274216483865,-3.354954870659784,98.34786628756612,0.69842,0.2613,-0.02634,-2.6423152898465836
4.590900507107138,1.12566375244914,19.291442250139234,0.87668,-0.11929,-0.02762,-0.2202070683738295,-4.213038396700749,-3.3546295124150722,98.36068667412962,0.69846,0.2613,-0.02634,-2.637225290163628
4.567950521358276,1.1118031602922807,19.342779506118664,0.87668,-0.11929,-0.02762,-0.22499937716356408,-4.198276468973939,-3.3528691337500733,98.37023164086165,0.69832,0.26112,-0.02634,-2.6322294597954285
4.5413756801074605,1.0957410018263884,19.384867936872347,0.87913,-0.11921,-0.02762,-0.22859744363989065,-4.183411411160608,-3.349172510065283,98.3766239906893,0.69838,0.26094,-0.02634,-2.627565149737579
4.511481759363752,1.0779446144672462,19.417273090520812,0.87914,-0.11957,-0.02762,-0.2310304115378929,-4.16856743248238,-3.343066238576779,98.38009595156808,0.69802,0.26107,-0.02634,-2.62344637076446
4.4786897135073485,1.0590096851514827,19.439868914281,0.87914,-0.11957,-0.02762,-0.23241062581967667,-4.15390798524799,-3.3341367168325085,98.38096109142174,0.69852,0.26114,-0.02634,-2.6200507369778117
4.443522491438755,1.0396210230409675,19.452849101864594,0.87956,-0.12236,-0.02762,-0.23291633201131967,-4.139616069427439,-3.3220573908211257,98.37958157372337,0.69852,0.26114,-0.02634,-2.6175097901163937
4.406585264756359,1.020506518413238,19.456720232211037,0.88187,-0.12261,-0.02762,-0.23277031162694267,-4.125872342914899,-3.3066090170290052,98.3763340313836,0.69852,0.26114,-0.02634,-2.615903481599401
